State,Year,Category,SubCat,Value
Alabama,2012,TotalIncome,Income,35202.89189
Alabama,2012,Expenditure,Income Tax,7575.396319
Alabama,2012,Expenditure,Other,1366.252101
Alabama,2012,HP,Housing Prices,160391.5612
Alabama,2013,TotalIncome,Income,35030.22809
Alabama,2013,Expenditure,Income Tax,7902.374026
Alabama,2013,Expenditure,Other,1475.134696
Alabama,2013,HP,Housing Prices,158119.3413
Alabama,2014,TotalIncome,Income,35554.1295
Alabama,2014,Expenditure,Income Tax,8202.672489
Alabama,2014,Expenditure,Other,1707.512281
Alabama,2014,HP,Housing Prices,145065.9144
Alabama,2015,TotalIncome,Income,36912.85391
Alabama,2015,Expenditure,Income Tax,8593.873828
Alabama,2015,Expenditure,Other,1536.633837
Alabama,2015,HP,Housing Prices,164116.813
Alabama,2016,TotalIncome,Income,38242.95576
Alabama,2016,Expenditure,Income Tax,9927.216915
Alabama,2016,Expenditure,Other,1602.795299
Alabama,2016,HP,Housing Prices,164919.542
Alabama,2017,TotalIncome,Income,42015.3547
Alabama,2017,Expenditure,Income Tax,10467.60745
Alabama,2017,Expenditure,Other,2081.16573
Alabama,2017,HP,Housing Prices,183814.7269
Alabama,2018,TotalIncome,Income,44136.30769
Alabama,2018,Expenditure,Income Tax,11617.08436
Alabama,2018,Expenditure,Other,1575.251866
Alabama,2018,HP,Housing Prices,176102.1447
Alabama,2019,TotalIncome,Income,42203.7975
Alabama,2019,Expenditure,Income Tax,10318.45732
Alabama,2019,Expenditure,Other,2834.860918
Alabama,2019,HP,Housing Prices,177685.8872
Alabama,2020,TotalIncome,Income,46793.91689
Alabama,2020,Expenditure,Income Tax,12896.41764
Alabama,2020,Expenditure,Other,2926.05907
Alabama,2020,HP,Housing Prices,204318.2137
Alabama,2021,TotalIncome,Income,48294.11058
Alabama,2021,Expenditure,Income Tax,8025.137737
Alabama,2021,Expenditure,Other,2546.050564
Alabama,2021,HP,Housing Prices,211011.8345
Alaska,2012,TotalIncome,Income,41383.14637
Alaska,2012,Expenditure,Income Tax,7671.631272
Alaska,2012,Expenditure,Other,1722.246605
Alaska,2012,HP,Housing Prices,251114.0355
Alaska,2013,TotalIncome,Income,42638.09611
Alaska,2013,Expenditure,Income Tax,7732.021075
Alaska,2013,Expenditure,Other,1754.637518
Alaska,2013,HP,Housing Prices,235069.8081
Alaska,2014,TotalIncome,Income,48829.03475
Alaska,2014,Expenditure,Income Tax,12992.36491
Alaska,2014,Expenditure,Other,2364.101852
Alaska,2014,HP,Housing Prices,269009.2081
Alaska,2015,TotalIncome,Income,45524.25848
Alaska,2015,Expenditure,Income Tax,10882.65188
Alaska,2015,Expenditure,Other,2022.097821
Alaska,2015,HP,Housing Prices,264970.8789
Alaska,2016,TotalIncome,Income,49225.56495
Alaska,2016,Expenditure,Income Tax,12532.42955
Alaska,2016,Expenditure,Other,2281.014381
Alaska,2016,HP,Housing Prices,282536.0858
Alaska,2017,TotalIncome,Income,48813.30576
Alaska,2017,Expenditure,Income Tax,10310.51684
Alaska,2017,Expenditure,Other,1986.486471
Alaska,2017,HP,Housing Prices,273485.3674
Alaska,2018,TotalIncome,Income,47973.31086
Alaska,2018,Expenditure,Income Tax,9830.122525
Alaska,2018,Expenditure,Other,1777.023492
Alaska,2018,HP,Housing Prices,280894.7603
Alaska,2019,TotalIncome,Income,49378.21745
Alaska,2019,Expenditure,Income Tax,9512.076963
Alaska,2019,Expenditure,Other,3068.221344
Alaska,2019,HP,Housing Prices,343599.7767
Alaska,2020,TotalIncome,Income,50507.12897
Alaska,2020,Expenditure,Income Tax,11110.72044
Alaska,2020,Expenditure,Other,3266.282596
Alaska,2020,HP,Housing Prices,356640.9332
Alaska,2021,TotalIncome,Income,52002.81859
Alaska,2021,Expenditure,Income Tax,5911.408037
Alaska,2021,Expenditure,Other,2894.618778
Alaska,2021,HP,Housing Prices,369824.1796
Arizona,2012,TotalIncome,Income,38621.65837
Arizona,2012,Expenditure,Income Tax,7539.248168
Arizona,2012,Expenditure,Other,1580.046698
Arizona,2012,HP,Housing Prices,187216.7459
Arizona,2013,TotalIncome,Income,37125.82668
Arizona,2013,Expenditure,Income Tax,6833.104803
Arizona,2013,Expenditure,Other,1470.113516
Arizona,2013,HP,Housing Prices,202292.0448
Arizona,2014,TotalIncome,Income,40052.80083
Arizona,2014,Expenditure,Income Tax,8217.95
Arizona,2014,Expenditure,Other,1565.910112
Arizona,2014,HP,Housing Prices,196247.3684
Arizona,2015,TotalIncome,Income,38577.87399
Arizona,2015,Expenditure,Income Tax,7998.364031
Arizona,2015,Expenditure,Other,1917.697636
Arizona,2015,HP,Housing Prices,202005.1334
Arizona,2016,TotalIncome,Income,41119.22712
Arizona,2016,Expenditure,Income Tax,9508.904239
Arizona,2016,Expenditure,Other,1767.1228
Arizona,2016,HP,Housing Prices,209967.7229
Arizona,2017,TotalIncome,Income,44641.87768
Arizona,2017,Expenditure,Income Tax,9427.529458
Arizona,2017,Expenditure,Other,1896.180283
Arizona,2017,HP,Housing Prices,231173.2347
Arizona,2018,TotalIncome,Income,43721.59919
Arizona,2018,Expenditure,Income Tax,8463.759709
Arizona,2018,Expenditure,Other,2012.69637
Arizona,2018,HP,Housing Prices,250116.3512
Arizona,2019,TotalIncome,Income,47273.12626
Arizona,2019,Expenditure,Income Tax,11133.01457
Arizona,2019,Expenditure,Other,3046.027079
Arizona,2019,HP,Housing Prices,296284.0083
Arizona,2020,TotalIncome,Income,51145.24232
Arizona,2020,Expenditure,Income Tax,13311.77603
Arizona,2020,Expenditure,Other,3246.706032
Arizona,2020,HP,Housing Prices,300397.0139
Arizona,2021,TotalIncome,Income,53340.21875
Arizona,2021,Expenditure,Income Tax,8587.673246
Arizona,2021,Expenditure,Other,3202.536828
Arizona,2021,HP,Housing Prices,367769.4021
Arkansas,2012,TotalIncome,Income,30831.99846
Arkansas,2012,Expenditure,Income Tax,4724.525066
Arkansas,2012,Expenditure,Other,1580.220369
Arkansas,2012,HP,Housing Prices,137593.4096
Arkansas,2013,TotalIncome,Income,32872.85954
Arkansas,2013,Expenditure,Income Tax,5725.725514
Arkansas,2013,Expenditure,Other,1516.861927
Arkansas,2013,HP,Housing Prices,133553.8197
Arkansas,2014,TotalIncome,Income,31383.46895
Arkansas,2014,Expenditure,Income Tax,4738.416667
Arkansas,2014,Expenditure,Other,1595.714992
Arkansas,2014,HP,Housing Prices,126389.3528
Arkansas,2015,TotalIncome,Income,34847.01656
Arkansas,2015,Expenditure,Income Tax,7271.008137
Arkansas,2015,Expenditure,Other,1533.368019
Arkansas,2015,HP,Housing Prices,145150.2893
Arkansas,2016,TotalIncome,Income,38743.35611
Arkansas,2016,Expenditure,Income Tax,9326.980998
Arkansas,2016,Expenditure,Other,1706.562329
Arkansas,2016,HP,Housing Prices,160219.6521
Arkansas,2017,TotalIncome,Income,43003.68276
Arkansas,2017,Expenditure,Income Tax,12602.63809
Arkansas,2017,Expenditure,Other,1841.63947
Arkansas,2017,HP,Housing Prices,161824.1744
Arkansas,2018,TotalIncome,Income,41169.67974
Arkansas,2018,Expenditure,Income Tax,10842.49583
Arkansas,2018,Expenditure,Other,1936.217071
Arkansas,2018,HP,Housing Prices,170253.7118
Arkansas,2019,TotalIncome,Income,40927.08662
Arkansas,2019,Expenditure,Income Tax,11554.34587
Arkansas,2019,Expenditure,Other,2860.90301
Arkansas,2019,HP,Housing Prices,182478.5333
Arkansas,2020,TotalIncome,Income,47600.51924
Arkansas,2020,Expenditure,Income Tax,14478.00302
Arkansas,2020,Expenditure,Other,3136.334637
Arkansas,2020,HP,Housing Prices,194588.572
Arkansas,2021,TotalIncome,Income,45640.72655
Arkansas,2021,Expenditure,Income Tax,7164.352277
Arkansas,2021,Expenditure,Other,3302.675075
Arkansas,2021,HP,Housing Prices,184453.0391
California,2012,TotalIncome,Income,41855.22114
California,2012,Expenditure,Income Tax,10791.26387
California,2012,Expenditure,Other,1467.00096
California,2012,HP,Housing Prices,433328.742
California,2013,TotalIncome,Income,42934.70029
California,2013,Expenditure,Income Tax,10493.73366
California,2013,Expenditure,Other,1525.652939
California,2013,HP,Housing Prices,453712.2608
California,2014,TotalIncome,Income,46524.8803
California,2014,Expenditure,Income Tax,13373.36506
California,2014,Expenditure,Other,1709.129654
California,2014,HP,Housing Prices,472837.3446
California,2015,TotalIncome,Income,44996.32661
California,2015,Expenditure,Income Tax,12059.09817
California,2015,Expenditure,Other,1680.624901
California,2015,HP,Housing Prices,491573.712
California,2016,TotalIncome,Income,47613.805
California,2016,Expenditure,Income Tax,14003.65727
California,2016,Expenditure,Other,1666.01664
California,2016,HP,Housing Prices,504154.5104
California,2017,TotalIncome,Income,49681.59832
California,2017,Expenditure,Income Tax,13802.33044
California,2017,Expenditure,Other,1831.166655
California,2017,HP,Housing Prices,561582.1566
California,2018,TotalIncome,Income,50516.82863
California,2018,Expenditure,Income Tax,14089.96325
California,2018,Expenditure,Other,1684.592659
California,2018,HP,Housing Prices,554167.2185
California,2019,TotalIncome,Income,53141.50772
California,2019,Expenditure,Income Tax,17675.15109
California,2019,Expenditure,Other,2740.548442
California,2019,HP,Housing Prices,615246.6211
California,2020,TotalIncome,Income,57094.12062
California,2020,Expenditure,Income Tax,19841.46652
California,2020,Expenditure,Other,3020.224639
California,2020,HP,Housing Prices,643067.6032
California,2021,TotalIncome,Income,56251.66115
California,2021,Expenditure,Income Tax,12518.29165
California,2021,Expenditure,Other,3009.431842
California,2021,HP,Housing Prices,681156.996
Colorado,2012,TotalIncome,Income,43652.26158
Colorado,2012,Expenditure,Income Tax,10852.94241
Colorado,2012,Expenditure,Other,1822.314586
Colorado,2012,HP,Housing Prices,299302.099
Colorado,2013,TotalIncome,Income,44430.54776
Colorado,2013,Expenditure,Income Tax,10678.83238
Colorado,2013,Expenditure,Other,1970.640407
Colorado,2013,HP,Housing Prices,294898.3663
Colorado,2014,TotalIncome,Income,54762.22508
Colorado,2014,Expenditure,Income Tax,18628.64639
Colorado,2014,Expenditure,Other,1996.334988
Colorado,2014,HP,Housing Prices,312899.7633
Colorado,2015,TotalIncome,Income,48276.27692
Colorado,2015,Expenditure,Income Tax,13053.41839
Colorado,2015,Expenditure,Other,1857.340725
Colorado,2015,HP,Housing Prices,322065.7362
Colorado,2016,TotalIncome,Income,48624.25629
Colorado,2016,Expenditure,Income Tax,12925.58075
Colorado,2016,Expenditure,Other,1870.674874
Colorado,2016,HP,Housing Prices,291778.3175
Colorado,2017,TotalIncome,Income,52400.25517
Colorado,2017,Expenditure,Income Tax,14035.53758
Colorado,2017,Expenditure,Other,2278.504699
Colorado,2017,HP,Housing Prices,332562.6756
Colorado,2018,TotalIncome,Income,54801.38558
Colorado,2018,Expenditure,Income Tax,15118.90282
Colorado,2018,Expenditure,Other,2478.707454
Colorado,2018,HP,Housing Prices,335223.8857
Colorado,2019,TotalIncome,Income,56608.05912
Colorado,2019,Expenditure,Income Tax,17736.93445
Colorado,2019,Expenditure,Other,3459.497551
Colorado,2019,HP,Housing Prices,390187.512
Colorado,2020,TotalIncome,Income,62024.16288
Colorado,2020,Expenditure,Income Tax,22222.52386
Colorado,2020,Expenditure,Other,3446.100229
Colorado,2020,HP,Housing Prices,548161.9099
Colorado,2021,TotalIncome,Income,61659.46358
Colorado,2021,Expenditure,Income Tax,16851.55645
Colorado,2021,Expenditure,Other,4176.12668
Colorado,2021,HP,Housing Prices,471860.9123
Connecticut,2012,TotalIncome,Income,51112.16147
Connecticut,2012,Expenditure,Income Tax,16535.98933
Connecticut,2012,Expenditure,Other,1934.422836
Connecticut,2012,HP,Housing Prices,391357.7837
Connecticut,2013,TotalIncome,Income,51956.20813
Connecticut,2013,Expenditure,Income Tax,17056.3564
Connecticut,2013,Expenditure,Other,2079.926352
Connecticut,2013,HP,Housing Prices,389882.4484
Connecticut,2014,TotalIncome,Income,51414.0423
Connecticut,2014,Expenditure,Income Tax,17411.86535
Connecticut,2014,Expenditure,Other,2156.373964
Connecticut,2014,HP,Housing Prices,342231.7533
Connecticut,2015,TotalIncome,Income,51155.241
Connecticut,2015,Expenditure,Income Tax,17460.34536
Connecticut,2015,Expenditure,Other,2345.63301
Connecticut,2015,HP,Housing Prices,368547.2161
Connecticut,2016,TotalIncome,Income,54099.55752
Connecticut,2016,Expenditure,Income Tax,18149.53183
Connecticut,2016,Expenditure,Other,2562.194249
Connecticut,2016,HP,Housing Prices,404434.9319
Connecticut,2017,TotalIncome,Income,53906.72427
Connecticut,2017,Expenditure,Income Tax,16433.26081
Connecticut,2017,Expenditure,Other,2428.048139
Connecticut,2017,HP,Housing Prices,339321.5448
Connecticut,2018,TotalIncome,Income,53752.15212
Connecticut,2018,Expenditure,Income Tax,16683.12018
Connecticut,2018,Expenditure,Other,2556.705513
Connecticut,2018,HP,Housing Prices,347645.4083
Connecticut,2019,TotalIncome,Income,59062.47654
Connecticut,2019,Expenditure,Income Tax,23348.66159
Connecticut,2019,Expenditure,Other,3739.674951
Connecticut,2019,HP,Housing Prices,388516.7445
Connecticut,2020,TotalIncome,Income,64153.38869
Connecticut,2020,Expenditure,Income Tax,28279.92015
Connecticut,2020,Expenditure,Other,4064.453243
Connecticut,2020,HP,Housing Prices,416293.0377
Connecticut,2021,TotalIncome,Income,63383.51351
Connecticut,2021,Expenditure,Income Tax,19941.06812
Connecticut,2021,Expenditure,Other,4337.046693
Connecticut,2021,HP,Housing Prices,421397.2744
Delaware,2012,TotalIncome,Income,37929.88386
Delaware,2012,Expenditure,Income Tax,8974.828058
Delaware,2012,Expenditure,Other,1381.863323
Delaware,2012,HP,Housing Prices,267486.7358
Delaware,2013,TotalIncome,Income,37749.8445
Delaware,2013,Expenditure,Income Tax,8473.317699
Delaware,2013,Expenditure,Other,1387.781535
Delaware,2013,HP,Housing Prices,246106.6622
Delaware,2014,TotalIncome,Income,43133.75325
Delaware,2014,Expenditure,Income Tax,12571.53247
Delaware,2014,Expenditure,Other,1628.307779
Delaware,2014,HP,Housing Prices,283237.0456
Delaware,2015,TotalIncome,Income,43317.45392
Delaware,2015,Expenditure,Income Tax,11951.7312
Delaware,2015,Expenditure,Other,1552.772414
Delaware,2015,HP,Housing Prices,249524.352
Delaware,2016,TotalIncome,Income,44095.07508
Delaware,2016,Expenditure,Income Tax,11747.11055
Delaware,2016,Expenditure,Other,1650.308383
Delaware,2016,HP,Housing Prices,247354.8289
Delaware,2017,TotalIncome,Income,44432.06596
Delaware,2017,Expenditure,Income Tax,11147.88973
Delaware,2017,Expenditure,Other,1825.078997
Delaware,2017,HP,Housing Prices,245655.6102
Delaware,2018,TotalIncome,Income,48207.58899
Delaware,2018,Expenditure,Income Tax,13064.63872
Delaware,2018,Expenditure,Other,2023.23408
Delaware,2018,HP,Housing Prices,262739.2266
Delaware,2019,TotalIncome,Income,50809.30044
Delaware,2019,Expenditure,Income Tax,18117.99758
Delaware,2019,Expenditure,Other,4472.223417
Delaware,2019,HP,Housing Prices,236082.1383
Delaware,2020,TotalIncome,Income,54894.69959
Delaware,2020,Expenditure,Income Tax,21203.51471
Delaware,2020,Expenditure,Other,3334.883753
Delaware,2020,HP,Housing Prices,253558.8996
Delaware,2021,TotalIncome,Income,48836.08475
Delaware,2021,Expenditure,Income Tax,8336.800842
Delaware,2021,Expenditure,Other,3583.787031
Delaware,2021,HP,Housing Prices,295018.9558
District of Columbia,2012,TotalIncome,Income,58189.18065
District of Columbia,2012,Expenditure,Income Tax,19220.83478
District of Columbia,2012,Expenditure,Other,1793.197077
District of Columbia,2012,HP,Housing Prices,493875.244
District of Columbia,2013,TotalIncome,Income,61499.89722
District of Columbia,2013,Expenditure,Income Tax,19496.08134
District of Columbia,2013,Expenditure,Other,2006.143592
District of Columbia,2013,HP,Housing Prices,547485.444
District of Columbia,2014,TotalIncome,Income,63087.76061
District of Columbia,2014,Expenditure,Income Tax,20689.67098
District of Columbia,2014,Expenditure,Other,2124.481541
District of Columbia,2014,HP,Housing Prices,736880.2115
District of Columbia,2015,TotalIncome,Income,63371.03157
District of Columbia,2015,Expenditure,Income Tax,19591.89877
District of Columbia,2015,Expenditure,Other,2127.208315
District of Columbia,2015,HP,Housing Prices,629350.4444
District of Columbia,2016,TotalIncome,Income,65089.34313
District of Columbia,2016,Expenditure,Income Tax,21225.83575
District of Columbia,2016,Expenditure,Other,2070.565087
District of Columbia,2016,HP,Housing Prices,630784.9725
District of Columbia,2017,TotalIncome,Income,68166.98833
District of Columbia,2017,Expenditure,Income Tax,22506.83036
District of Columbia,2017,Expenditure,Other,2360.376003
District of Columbia,2017,HP,Housing Prices,625958.8934
District of Columbia,2018,TotalIncome,Income,76507.7139
District of Columbia,2018,Expenditure,Income Tax,25804.78947
District of Columbia,2018,Expenditure,Other,2180.727677
District of Columbia,2018,HP,Housing Prices,683556.6439
District of Columbia,2019,TotalIncome,Income,83059.91062
District of Columbia,2019,Expenditure,Income Tax,34774.10208
District of Columbia,2019,Expenditure,Other,3472.962868
District of Columbia,2019,HP,Housing Prices,737172.5673
District of Columbia,2020,TotalIncome,Income,86512.8916
District of Columbia,2020,Expenditure,Income Tax,41450.96396
District of Columbia,2020,Expenditure,Other,3986.857577
District of Columbia,2020,HP,Housing Prices,767180.8094
District of Columbia,2021,TotalIncome,Income,89157.11273
District of Columbia,2021,Expenditure,Income Tax,35362.33726
District of Columbia,2021,Expenditure,Other,3757.663193
District of Columbia,2021,HP,Housing Prices,815077.0052
Florida,2012,TotalIncome,Income,37825.70139
Florida,2012,Expenditure,Income Tax,6747.553719
Florida,2012,Expenditure,Other,1707.008689
Florida,2012,HP,Housing Prices,200619.9922
Florida,2013,TotalIncome,Income,37526.25335
Florida,2013,Expenditure,Income Tax,6389.72656
Florida,2013,Expenditure,Other,1747.539297
Florida,2013,HP,Housing Prices,212755.7108
Florida,2014,TotalIncome,Income,41046.75272
Florida,2014,Expenditure,Income Tax,9091.355634
Florida,2014,Expenditure,Other,2060.309836
Florida,2014,HP,Housing Prices,209899.6093
Florida,2015,TotalIncome,Income,40025.64302
Florida,2015,Expenditure,Income Tax,8781.251611
Florida,2015,Expenditure,Other,1831.339918
Florida,2015,HP,Housing Prices,221838.2096
Florida,2016,TotalIncome,Income,41261.51702
Florida,2016,Expenditure,Income Tax,9230.52892
Florida,2016,Expenditure,Other,2099.654624
Florida,2016,HP,Housing Prices,228892.2448
Florida,2017,TotalIncome,Income,42671.19284
Florida,2017,Expenditure,Income Tax,8423.988045
Florida,2017,Expenditure,Other,2068.615182
Florida,2017,HP,Housing Prices,240793.7095
Florida,2018,TotalIncome,Income,43800.54337
Florida,2018,Expenditure,Income Tax,9031.003133
Florida,2018,Expenditure,Other,2007.762944
Florida,2018,HP,Housing Prices,259043.9756
Florida,2019,TotalIncome,Income,45942.48183
Florida,2019,Expenditure,Income Tax,9887.389793
Florida,2019,Expenditure,Other,3051.716925
Florida,2019,HP,Housing Prices,283050.9245
Florida,2020,TotalIncome,Income,49463.13482
Florida,2020,Expenditure,Income Tax,11797.74798
Florida,2020,Expenditure,Other,2944.068125
Florida,2020,HP,Housing Prices,285506.8719
Florida,2021,TotalIncome,Income,47219.0618
Florida,2021,Expenditure,Income Tax,3912.073833
Florida,2021,Expenditure,Other,3015.180082
Florida,2021,HP,Housing Prices,302776.4032
Georgia,2012,TotalIncome,Income,39547.47812
Georgia,2012,Expenditure,Income Tax,9108.484242
Georgia,2012,Expenditure,Other,1638.198772
Georgia,2012,HP,Housing Prices,195683.6016
Georgia,2013,TotalIncome,Income,39380.09081
Georgia,2013,Expenditure,Income Tax,8184.309827
Georgia,2013,Expenditure,Other,1617.825102
Georgia,2013,HP,Housing Prices,171380.6365
Georgia,2014,TotalIncome,Income,41089.62818
Georgia,2014,Expenditure,Income Tax,10982.6297
Georgia,2014,Expenditure,Other,1761.918755
Georgia,2014,HP,Housing Prices,183738.0751
Georgia,2015,TotalIncome,Income,41474.1203
Georgia,2015,Expenditure,Income Tax,9958.474876
Georgia,2015,Expenditure,Other,1673.218783
Georgia,2015,HP,Housing Prices,183688.432
Georgia,2016,TotalIncome,Income,40408.29832
Georgia,2016,Expenditure,Income Tax,10118.96486
Georgia,2016,Expenditure,Other,1723.40423
Georgia,2016,HP,Housing Prices,185122.9288
Georgia,2017,TotalIncome,Income,44472.0015
Georgia,2017,Expenditure,Income Tax,11608.59383
Georgia,2017,Expenditure,Other,1812.195056
Georgia,2017,HP,Housing Prices,197036.5527
Georgia,2018,TotalIncome,Income,45778.18208
Georgia,2018,Expenditure,Income Tax,11612.82465
Georgia,2018,Expenditure,Other,1871.379463
Georgia,2018,HP,Housing Prices,218474.5424
Georgia,2019,TotalIncome,Income,47239.19456
Georgia,2019,Expenditure,Income Tax,14001.33746
Georgia,2019,Expenditure,Other,2817.119881
Georgia,2019,HP,Housing Prices,236850.7692
Georgia,2020,TotalIncome,Income,49781.71848
Georgia,2020,Expenditure,Income Tax,16559.724
Georgia,2020,Expenditure,Other,3082.545611
Georgia,2020,HP,Housing Prices,240783.119
Georgia,2021,TotalIncome,Income,50840.78951
Georgia,2021,Expenditure,Income Tax,9137.720396
Georgia,2021,Expenditure,Other,2670.812707
Georgia,2021,HP,Housing Prices,260211.0574
Hawaii,2012,TotalIncome,Income,40061.20434
Hawaii,2012,Expenditure,Income Tax,10507.54091
Hawaii,2012,Expenditure,Other,1173.562852
Hawaii,2012,HP,Housing Prices,471130.3221
Hawaii,2013,TotalIncome,Income,38889.33292
Hawaii,2013,Expenditure,Income Tax,9543.116892
Hawaii,2013,Expenditure,Other,1323.388075
Hawaii,2013,HP,Housing Prices,441688.9995
Hawaii,2014,TotalIncome,Income,40711.34459
Hawaii,2014,Expenditure,Income Tax,10029.43945
Hawaii,2014,Expenditure,Other,1506.181018
Hawaii,2014,HP,Housing Prices,460349.4828
Hawaii,2015,TotalIncome,Income,42558.81466
Hawaii,2015,Expenditure,Income Tax,10911.33333
Hawaii,2015,Expenditure,Other,1719.993155
Hawaii,2015,HP,Housing Prices,452122.949
Hawaii,2016,TotalIncome,Income,44281.9215
Hawaii,2016,Expenditure,Income Tax,12051.08544
Hawaii,2016,Expenditure,Other,1505.853837
Hawaii,2016,HP,Housing Prices,467506.4013
Hawaii,2017,TotalIncome,Income,46050.81941
Hawaii,2017,Expenditure,Income Tax,12140.71458
Hawaii,2017,Expenditure,Other,1479.740971
Hawaii,2017,HP,Housing Prices,527991.0216
Hawaii,2018,TotalIncome,Income,49624.50874
Hawaii,2018,Expenditure,Income Tax,13723.74115
Hawaii,2018,Expenditure,Other,1439.621087
Hawaii,2018,HP,Housing Prices,535739.6166
Hawaii,2019,TotalIncome,Income,52790.33539
Hawaii,2019,Expenditure,Income Tax,22515.93952
Hawaii,2019,Expenditure,Other,2877.23243
Hawaii,2019,HP,Housing Prices,678083.3061
Hawaii,2020,TotalIncome,Income,51773.13274
Hawaii,2020,Expenditure,Income Tax,20130.39661
Hawaii,2020,Expenditure,Other,2634.390387
Hawaii,2020,HP,Housing Prices,654839.2871
Hawaii,2021,TotalIncome,Income,50406.78347
Hawaii,2021,Expenditure,Income Tax,11576.43942
Hawaii,2021,Expenditure,Other,2583.587563
Hawaii,2021,HP,Housing Prices,719221.6155
Idaho,2012,TotalIncome,Income,33210.97551
Idaho,2012,Expenditure,Income Tax,6054.893395
Idaho,2012,Expenditure,Other,1954.886709
Idaho,2012,HP,Housing Prices,190744.4423
Idaho,2013,TotalIncome,Income,35647.23592
Idaho,2013,Expenditure,Income Tax,6859.678788
Idaho,2013,Expenditure,Other,1716.839532
Idaho,2013,HP,Housing Prices,185215.0138
Idaho,2014,TotalIncome,Income,35726.6967
Idaho,2014,Expenditure,Income Tax,7294.022472
Idaho,2014,Expenditure,Other,1876.631659
Idaho,2014,HP,Housing Prices,176075.4717
Idaho,2015,TotalIncome,Income,39823.70656
Idaho,2015,Expenditure,Income Tax,9838.949855
Idaho,2015,Expenditure,Other,1908.83363
Idaho,2015,HP,Housing Prices,192918.9501
Idaho,2016,TotalIncome,Income,40346.5132
Idaho,2016,Expenditure,Income Tax,10246.81425
Idaho,2016,Expenditure,Other,1922.911066
Idaho,2016,HP,Housing Prices,205489.4936
Idaho,2017,TotalIncome,Income,40912.19502
Idaho,2017,Expenditure,Income Tax,9773.655694
Idaho,2017,Expenditure,Other,2518.256788
Idaho,2017,HP,Housing Prices,207430.0268
Idaho,2018,TotalIncome,Income,42609.64753
Idaho,2018,Expenditure,Income Tax,9969.707452
Idaho,2018,Expenditure,Other,2106.658467
Idaho,2018,HP,Housing Prices,222602.3688
Idaho,2019,TotalIncome,Income,42846.73998
Idaho,2019,Expenditure,Income Tax,10196.85129
Idaho,2019,Expenditure,Other,2947.262956
Idaho,2019,HP,Housing Prices,297995.7329
Idaho,2020,TotalIncome,Income,50534.9627
Idaho,2020,Expenditure,Income Tax,13844.84229
Idaho,2020,Expenditure,Other,3444.316268
Idaho,2020,HP,Housing Prices,320971.6665
Idaho,2021,TotalIncome,Income,47217.3257
Idaho,2021,Expenditure,Income Tax,6320.346271
Idaho,2021,Expenditure,Other,3207.570251
Idaho,2021,HP,Housing Prices,381391.0515
Illinois,2012,TotalIncome,Income,41444.16008
